iter	Passed	Remaining
0	62	18826
1	66	9960
2	71	7077
3	75	5584
4	78	4628
5	81	4014
6	85	3559
7	89	3284
8	93	3014
9	96	2794
10	100	2634
11	104	2499
12	107	2369
13	110	2267
14	114	2169
15	117	2087
16	120	2002
17	123	1935
18	126	1867
19	129	1813
20	132	1758
21	134	1705
22	137	1651
23	140	1610
24	142	1570
25	145	1532
26	147	1492
27	150	1465
28	153	1431
29	156	1407
30	159	1382
31	162	1357
32	165	1339
33	168	1316
34	170	1292
35	173	1271
36	176	1252
37	179	1236
38	181	1217
39	184	1200
40	187	1184
41	190	1170
42	193	1156
43	196	1140
44	199	1129
45	201	1114
46	204	1103
47	207	1091
48	210	1080
49	213	1069
50	217	1060
51	220	1051
52	223	1041
53	226	1031
54	229	1021
55	232	1013
56	235	1003
57	238	993
58	241	986
59	244	978
60	247	970
61	250	962
62	253	952
63	255	943
64	258	936
65	261	927
66	264	920
67	267	913
68	270	907
69	273	899
70	277	894
71	280	887
72	283	880
73	286	873
74	289	867
75	291	860
76	294	853
77	297	846
78	299	839
79	302	832
80	305	824
81	308	818
82	310	812
83	314	808
84	317	802
85	319	796
86	322	790
87	325	784
88	328	778
89	331	773
90	334	768
91	336	761
92	340	756
93	342	750
94	345	745
95	348	741
96	351	735
97	354	729
98	357	724
99	360	720
100	363	715
101	366	710
102	368	705
103	372	701
104	375	696
105	378	692
106	382	689
107	385	685
108	389	682
109	392	677
110	395	672
111	398	668
112	401	663
113	404	660
114	407	655
115	410	651
116	413	647
117	416	642
118	419	638
119	422	633
120	425	629
121	428	625
122	431	620
123	435	617
124	437	612
125	440	608
126	443	604
127	446	600
128	450	596
129	453	592
130	456	588
131	459	584
132	461	579
133	464	575
134	468	572
135	470	567
136	473	563
137	476	559
138	479	555
139	482	551
140	485	547
141	488	543
142	490	538
143	493	534
144	496	530
145	499	526
146	504	524
147	507	520
148	509	516
149	513	513
150	515	509
151	519	505
152	522	502
153	525	498
154	528	494
155	531	490
156	534	487
157	538	483
158	540	479
159	543	475
160	546	472
161	549	467
162	552	464
163	554	460
164	557	456
165	560	452
166	562	448
167	565	444
168	568	440
169	571	436
170	574	433
171	577	429
172	580	425
173	583	422
174	585	418
175	588	414
176	591	411
177	594	407
178	597	403
179	600	400
180	603	396
181	605	392
182	608	389
183	611	385
184	614	381
185	617	378
186	620	374
187	623	371
188	626	367
189	629	364
190	632	360
191	635	357
192	638	353
193	641	350
194	644	346
195	647	343
196	649	339
197	652	336
198	655	332
199	658	329
200	661	325
201	663	322
202	666	318
203	669	315
204	672	311
205	675	308
206	679	305
207	682	301
208	685	298
209	688	294
210	691	291
211	694	288
212	697	284
213	699	281
214	702	277
215	705	274
216	708	271
217	711	267
218	715	264
219	717	261
220	721	257
221	723	254
222	726	251
223	730	247
224	733	244
225	738	241
226	740	238
227	743	234
228	746	231
229	749	228
230	752	224
231	756	221
232	758	218
233	761	214
234	765	211
235	768	208
236	771	205
237	774	201
238	777	198
239	779	194
240	782	191
241	785	188
242	792	185
243	796	182
244	799	179
245	802	176
246	805	172
247	808	169
248	811	166
249	814	162
250	816	159
251	819	156
252	822	152
253	825	149
254	828	146
255	831	142
256	834	139
257	837	136
258	840	133
259	843	129
260	845	126
261	848	123
262	851	119
263	854	116
264	857	113
265	860	110
266	863	106
267	866	103
268	870	100
269	873	97
270	876	93
271	879	90
272	882	87
273	885	83
274	888	80
275	892	77
276	895	74
277	898	71
278	901	67
279	904	64
280	907	61
281	910	58
282	913	54
283	916	51
284	919	48
285	922	45
286	925	41
287	928	38
288	931	35
289	934	32
290	937	28
291	940	25
292	942	22
293	945	19
294	949	16
295	952	12
296	955	9
297	957	6
298	960	3
299	963	0
